"Part";"Value";"Device";"Package";"Description";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"FOOTPRINT_VARIANT_NAME_0";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MPN";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_3_INSIDE_EDGE";"POPULARITY";"PREFIX";"PROD_ID";"RELEASE_DATE";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"R27";"100k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R28";"LDR";"R-EU_0204/2V";"0204V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"";"";"";"R";"";"";"";
"R29";"100k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R30";"2.2k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R31";"100k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"10k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R33";"100k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SHIFTREG";"";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";
"SPEED";"100k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"9mm vertical snap-in pot, Alpha / Panasonic style";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"";"2N4401-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"T2";"";"2N4401-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"TNSYPWR";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"VR4";"";"BOURNS_3362P_TRIMMERP";"BOURNS_3362P_TRIMMER";"3362 Series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"WRITE";"";"MOMENTARY-SWITCH-SPST-PTH-12MM";"TACTILE_SWITCH_PTH_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-09185";"";"";"COM-09190";"";"";"";"";
